"target","predictor_set","response_mode","response_label","response_source","dominant_direction","jitter_used","jitter_scale","jitter_scale_factor","jitter_basis","jitter_basis_value","jitter_attempts","predictor_jitter_used","predictor_jitter_scale_factor","predictor_jitter_variables","class_0_count","class_1_count","min_class_count","n_predictors","response_trigger","status","max_rhat","min_neff","loo_elpd"
"X","original","directional","raw_first_derivative_direction","X_d1",1,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,41,57,41,2,"raw_directional","completed",1.00062622417461,0.411815448235961,NA
"X","first_derivative","directional","raw_first_derivative_direction","X_d1",1,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,41,57,41,1,"raw_directional","completed",1.00072353088176,0.426353966962233,NA
"X","second_derivative","directional","raw_first_derivative_direction","X_d1",1,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,41,57,41,2,"raw_directional","completed",1.00140869297238,0.236594773710028,NA
"X","all_predictors","directional","raw_first_derivative_direction","X_d1",1,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,41,57,41,5,"raw_directional","completed",1.00275795972922,0.372069019934569,NA
"Y","original","directional","raw_first_derivative_direction","Y_d1",-1,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,66,32,32,2,"raw_directional","completed",1.00125188766462,0.43556821631248,NA
"Y","first_derivative","directional","raw_first_derivative_direction","Y_d1",-1,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,66,32,32,1,"raw_directional","completed",1.0004428982295,0.455168738611829,NA
"Y","second_derivative","directional","raw_first_derivative_direction","Y_d1",-1,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,66,32,32,2,"raw_directional","completed",1.0013308628242,0.438511791838883,NA
"Y","all_predictors","directional","raw_first_derivative_direction","Y_d1",-1,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,66,32,32,5,"raw_directional","completed",1.00317496764578,0.387079847872777,NA
