t,X,Y
0,2.0,2.0
1,1.4859197932893573,2.485151551093314
2,1.0032341166901801,2.7155185066185528
3,0.6619948765381793,2.6750914617713573
4,0.45733863304424993,2.4591801589939792
5,0.33493994572355024,2.175562302983179
6,0.26237070893629566,1.8813693864784646
7,0.221637164899209,1.6043985618935073
8,0.20171029347438005,1.3570747233915528
9,0.19484715867656405,1.1441872593405384
10,0.19806120250100695,0.9643142437795003
11,0.21017029541079052,0.8142407531809094
12,0.23117428649742708,0.6903136441193838
13,0.26177880981075935,0.5890528550601022
14,0.30349816458893797,0.5073361202428258
15,0.35864630452452856,0.442254834457902
16,0.4302531789460762,0.39149798253921414
17,0.5221134122115443,0.3535505357555841
18,0.6387863037083146,0.32769345181077175
19,0.7851822225349957,0.31423745502097183
20,0.9667139908297038,0.31433725896826326
21,1.190066950894596,0.3295346173213741
22,1.454546005990705,0.3668294476349017
23,1.7512077945127755,0.4391836511254483
24,2.069952079498907,0.5584343505321738
25,2.321446014915328,0.7832614445451967
26,2.396979674406999,1.158543051590633
27,2.2291666283671017,1.6659837352273037
28,1.8025512622544426,2.217714765770088
29,1.275813515228525,2.6170438745005837
30,0.8413208037359938,2.732521710832279
31,0.5595468575606616,2.605093105861166
32,0.3919675212985506,2.3503629151517162
33,0.2959692973685144,2.0529980891174944
34,0.239244523306842,1.7619250615167603
35,0.20820792484949194,1.4958241291834153
36,0.19456807428290973,1.2620544922688064
37,0.19234352457859505,1.0627864309386743
38,0.19937257020288623,0.8955820893157388
39,0.21503908518905104,0.756804080697836
40,0.2397760383943443,0.6426832616992537
41,0.2746359014808738,0.5498337342987043
42,0.32134533914260677,0.47537813258683237
43,0.38260049629644527,0.416683727105315
44,0.46181275420472423,0.37150987025946625
45,0.5630537036090493,0.3385436925900789
46,0.6910566685625676,0.31740854371333604
47,0.8512167064299685,0.3086639923208113
48,1.0486536141608325,0.3143463265314582
49,1.2872923680345563,0.33857046272821495
50,1.5691664554969376,0.387120022400468
51,1.8772358809205574,0.476518194049117
52,2.1737287384692046,0.6348926070795042
53,2.3853035837571435,0.903598194055361
54,2.3944668736588675,1.3252878699362227
55,2.113125980373421,1.87980913282964
56,1.6154073782549734,2.4058629973516052
57,1.0903832475938589,2.71838867640826
58,0.7012298742798166,2.7333772088881942
59,0.4712313998393535,2.5334894352704502
60,0.3356654478509086,2.2477215285096532
61,0.2605284026966428,1.9415547470777872
62,0.21767911102585796,1.6537182707392701
63,0.19462024231604527,1.3979149516081346
64,0.1862466289984214,1.1762920583503953
65,0.1880035166504192,0.9889818112517874
66,0.19839168035309168,0.8328239757621956
67,0.21717891750155194,0.7039218667106864
68,0.24518140590916848,0.5983707686895943
69,0.28385501705631705,0.512780357233743
70,0.335202506870209,0.4443977624876593
71,0.4018513152185482,0.391086193003958
72,0.4878032538169804,0.3507719861281101
73,0.5977732417527446,0.3221345590932004
74,0.7367563264699356,0.30504517172927526
75,0.910027510699779,0.3005671237526679
76,1.1231378761460968,0.31095783166080027
77,1.377964195239122,0.3420306592417273
78,1.6749027831897387,0.4017716622898246
79,1.9931620381398458,0.5086728705104478
80,2.2806784072718314,0.6967069054432677
81,2.448343278467818,1.0136400531041558
82,2.3698208721337686,1.494949825494092
83,1.9908526032832783,2.0802879128515217
84,1.446003166636573,2.5692188887898104
85,0.9432411850089186,2.7883540153875703
86,0.6142216938476763,2.70928463705469
87,0.4159092387245929,2.46942880030831
88,0.3032633747082711,2.1662107236125014
89,0.24047213520075916,1.859164938038369
90,0.2037404168586209,1.5781967085627673
91,0.18585299643792297,1.3300826792957052
92,0.18083777579667354,1.117224385296685
93,0.1851541696815697,0.9383847279117852
94,0.19773769243922462,0.7898936200556954
95,0.2187224895862866,0.6676817142473765
96,0.24913357604442823,0.567896969405814
97,0.2905425903968575,0.4873010854198125
98,0.3450985004838131,0.42325143199122434
99,0.41594366943823513,0.37342517555037724
100,0.5070242246088312,0.336171782775499
